ISO3,country,adm1_name,adm2_name,mkt_name,lat,lon,geo_id,price_date,year,month,currency,components,start_dense_data,last_survey_point,data_coverage,data_coverage_recent,index_confidence_score,spatially_interpolated,bananas,beans,eggs,fish,maize_flour,meat_beef,meat_goat,millet,onions,oranges,rice,salt,sorghum,tomatoes,watermelons,yam,o_bananas,h_bananas,l_bananas,c_bananas,inflation_bananas,trust_bananas,o_beans,h_beans,l_beans,c_beans,inflation_beans,trust_beans,o_eggs,h_eggs,l_eggs,c_eggs,inflation_eggs,trust_eggs,o_fish,h_fish,l_fish,c_fish,inflation_fish,trust_fish,o_maize_flour,h_maize_flour,l_maize_flour,c_maize_flour,inflation_maize_flour,trust_maize_flour,o_meat_beef,h_meat_beef,l_meat_beef,c_meat_beef,inflation_meat_beef,trust_meat_beef,o_meat_goat,h_meat_goat,l_meat_goat,c_meat_goat,inflation_meat_goat,trust_meat_goat,o_millet,h_millet,l_millet,c_millet,inflation_millet,trust_millet,o_onions,h_onions,l_onions,c_onions,inflation_onions,trust_onions,o_oranges,h_oranges,l_oranges,c_oranges,inflation_oranges,trust_oranges,o_rice,h_rice,l_rice,c_rice,inflation_rice,trust_rice,o_salt,h_salt,l_salt,c_salt,inflation_salt,trust_salt,o_sorghum,h_sorghum,l_sorghum,c_sorghum,inflation_sorghum,trust_sorghum,o_tomatoes,h_tomatoes,l_tomatoes,c_tomatoes,inflation_tomatoes,trust_tomatoes,o_watermelons,h_watermelons,l_watermelons,c_watermelons,inflation_watermelons,trust_watermelons,o_yam,h_yam,l_yam,c_yam,inflation_yam,trust_yam,o_food_price_index,h_food_price_index,l_food_price_index,c_food_price_index,inflation_food_price_index,trust_food_price_index
NGA,Nigeria,Abia,Oboma Ngwa,Aba,5.15,7.36,gid_5150000073600000,2009-01-01,2009,1,NGN,"bananas (1.3 KG, Index Weight = 0.77), beans (2.5 KG, Index Weight = 0.4), eggs (30 pcs, Index Weight = 0.33), fish (1 KG, Index Weight = 1), maize_flour (2.1 KG, Index Weight = 0.48), meat_beef (1 KG, Index Weight = 1), meat_goat (1 KG, Index Weight = 1), millet (2.6 KG, Index Weight = 0.38), onions (0.5 KG, Index Weight = 2), oranges (400 G, Index Weight = 2.5), rice (2.8 KG, Index Weight = 0.36), salt (250 G, Index Weight = 4), sorghum (2.7 KG, Index Weight = 0.37), tomatoes (0.5 KG, Index Weight = 2), watermelons (2.1 KG, Index Weight = 0.48), yam (2.5 KG, Index Weight = 0.4)",Aug 2013,Jun 2025,20.89,35.15,0.91,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,Nigeria,Abia,Oboma Ngwa,Aba,5.15,7.36,gid_5150000073600000,2009-02-01,2009,2,NGN,"bananas (1.3 KG, Index Weight = 0.77), beans (2.5 KG, Index Weight = 0.4), eggs (30 pcs, Index Weight = 0.33), fish (1 KG, Index Weight = 1), maize_flour (2.1 KG, Index Weight = 0.48), meat_beef (1 KG, Index Weight = 1), meat_goat (1 KG, Index Weight = 1), millet (2.6 KG, Index Weight = 0.38), onions (0.5 KG, Index Weight = 2), oranges (400 G, Index Weight = 2.5), rice (2.8 KG, Index Weight = 0.36), salt (250 G, Index Weight = 4), sorghum (2.7 KG, Index Weight = 0.37), tomatoes (0.5 KG, Index Weight = 2), watermelons (2.1 KG, Index Weight = 0.48), yam (2.5 KG, Index Weight = 0.4)",Aug 2013,Jun 2025,20.89,35.15,0.91,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,Nigeria,Abia,Oboma Ngwa,Aba,5.15,7.36,gid_5150000073600000,2009-03-01,2009,3,NGN,"bananas (1.3 KG, Index Weight = 0.77), beans (2.5 KG, Index Weight = 0.4), eggs (30 pcs, Index Weight = 0.33), fish (1 KG, Index Weight = 1), maize_flour (2.1 KG, Index Weight = 0.48), meat_beef (1 KG, Index Weight = 1), meat_goat (1 KG, Index Weight = 1), millet (2.6 KG, Index Weight = 0.38), onions (0.5 KG, Index Weight = 2), oranges (400 G, Index Weight = 2.5), rice (2.8 KG, Index Weight = 0.36), salt (250 G, Index Weight = 4), sorghum (2.7 KG, Index Weight = 0.37), tomatoes (0.5 KG, Index Weight = 2), watermelons (2.1 KG, Index Weight = 0.48), yam (2.5 KG, Index Weight = 0.4)",Aug 2013,Jun 2025,20.89,35.15,0.91,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,Nigeria,Abia,Oboma Ngwa,Aba,5.15,7.36,gid_5150000073600000,2009-04-01,2009,4,NGN,"bananas (1.3 KG, Index Weight = 0.77), beans (2.5 KG, Index Weight = 0.4), eggs (30 pcs, Index Weight = 0.33), fish (1 KG, Index Weight = 1), maize_flour (2.1 KG, Index Weight = 0.48), meat_beef (1 KG, Index Weight = 1), meat_goat (1 KG, Index Weight = 1), millet (2.6 KG, Index Weight = 0.38), onions (0.5 KG, Index Weight = 2), oranges (400 G, Index Weight = 2.5), rice (2.8 KG, Index Weight = 0.36), salt (250 G, Index Weight = 4), sorghum (2.7 KG, Index Weight = 0.37), tomatoes (0.5 KG, Index Weight = 2), watermelons (2.1 KG, Index Weight = 0.48), yam (2.5 KG, Index Weight = 0.4)",Aug 2013,Jun 2025,20.89,35.15,0.91,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,Nigeria,Abia,Oboma Ngwa,Aba,5.15,7.36,gid_5150000073600000,2009-05-01,2009,5,NGN,"bananas (1.3 KG, Index Weight = 0.77), beans (2.5 KG, Index Weight = 0.4), eggs (30 pcs, Index Weight = 0.33), fish (1 KG, Index Weight = 1), maize_flour (2.1 KG, Index Weight = 0.48), meat_beef (1 KG, Index Weight = 1), meat_goat (1 KG, Index Weight = 1), millet (2.6 KG, Index Weight = 0.38), onions (0.5 KG, Index Weight = 2), oranges (400 G, Index Weight = 2.5), rice (2.8 KG, Index Weight = 0.36), salt (250 G, Index Weight = 4), sorghum (2.7 KG, Index Weight = 0.37), tomatoes (0.5 KG, Index Weight = 2), watermelons (2.1 KG, Index Weight = 0.48), yam (2.5 KG, Index Weight = 0.4)",Aug 2013,Jun 2025,20.89,35.15,0.91,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,Nigeria,Abia,Oboma Ngwa,Aba,5.15,7.36,gid_5150000073600000,2009-06-01,2009,6,NGN,"bananas (1.3 KG, Index Weight = 0.77), beans (2.5 KG, Index Weight = 0.4), eggs (30 pcs, Index Weight = 0.33), fish (1 KG, Index Weight = 1), maize_flour (2.1 KG, Index Weight = 0.48), meat_beef (1 KG, Index Weight = 1), meat_goat (1 KG, Index Weight = 1), millet (2.6 KG, Index Weight = 0.38), onions (0.5 KG, Index Weight = 2), oranges (400 G, Index Weight = 2.5), rice (2.8 KG, Index Weight = 0.36), salt (250 G, Index Weight = 4), sorghum (2.7 KG, Index Weight = 0.37), tomatoes (0.5 KG, Index Weight = 2), watermelons (2.1 KG, Index Weight = 0.48), yam (2.5 KG, Index Weight = 0.4)",Aug 2013,Jun 2025,20.89,35.15,0.91,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,Nigeria,Abia,Oboma Ngwa,Aba,5.15,7.36,gid_5150000073600000,2009-07-01,2009,7,NGN,"bananas (1.3 KG, Index Weight = 0.77), beans (2.5 KG, Index Weight = 0.4), eggs (30 pcs, Index Weight = 0.33), fish (1 KG, Index Weight = 1), maize_flour (2.1 KG, Index Weight = 0.48), meat_beef (1 KG, Index Weight = 1), meat_goat (1 KG, Index Weight = 1), millet (2.6 KG, Index Weight = 0.38), onions (0.5 KG, Index Weight = 2), oranges (400 G, Index Weight = 2.5), rice (2.8 KG, Index Weight = 0.36), salt (250 G, Index Weight = 4), sorghum (2.7 KG, Index Weight = 0.37), tomatoes (0.5 KG, Index Weight = 2), watermelons (2.1 KG, Index Weight = 0.48), yam (2.5 KG, Index Weight = 0.4)",Aug 2013,Jun 2025,20.89,35.15,0.91,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,Nigeria,Abia,Oboma Ngwa,Aba,5.15,7.36,gid_5150000073600000,2009-08-01,2009,8,NGN,"bananas (1.3 KG, Index Weight = 0.77), beans (2.5 KG, Index Weight = 0.4), eggs (30 pcs, Index Weight = 0.33), fish (1 KG, Index Weight = 1), maize_flour (2.1 KG, Index Weight = 0.48), meat_beef (1 KG, Index Weight = 1), meat_goat (1 KG, Index Weight = 1), millet (2.6 KG, Index Weight = 0.38), onions (0.5 KG, Index Weight = 2), oranges (400 G, Index Weight = 2.5), rice (2.8 KG, Index Weight = 0.36), salt (250 G, Index Weight = 4), sorghum (2.7 KG, Index Weight = 0.37), tomatoes (0.5 KG, Index Weight = 2), watermelons (2.1 KG, Index Weight = 0.48), yam (2.5 KG, Index Weight = 0.4)",Aug 2013,Jun 2025,20.89,35.15,0.91,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,Nigeria,Abia,Oboma Ngwa,Aba,5.15,7.36,gid_5150000073600000,2009-09-01,2009,9,NGN,"bananas (1.3 KG, Index Weight = 0.77), beans (2.5 KG, Index Weight = 0.4), eggs (30 pcs, Index Weight = 0.33), fish (1 KG, Index Weight = 1), maize_flour (2.1 KG, Index Weight = 0.48), meat_beef (1 KG, Index Weight = 1), meat_goat (1 KG, Index Weight = 1), millet (2.6 KG, Index Weight = 0.38), onions (0.5 KG, Index Weight = 2), oranges (400 G, Index Weight = 2.5), rice (2.8 KG, Index Weight = 0.36), salt (250 G, Index Weight = 4), sorghum (2.7 KG, Index Weight = 0.37), tomatoes (0.5 KG, Index Weight = 2), watermelons (2.1 KG, Index Weight = 0.48), yam (2.5 KG, Index Weight = 0.4)",Aug 2013,Jun 2025,20.89,35.15,0.91,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,Nigeria,Abia,Oboma Ngwa,Aba,5.15,7.36,gid_5150000073600000,2009-10-01,2009,10,NGN,"bananas (1.3 KG, Index Weight = 0.77), beans (2.5 KG, Index Weight = 0.4), eggs (30 pcs, Index Weight = 0.33), fish (1 KG, Index Weight = 1), maize_flour (2.1 KG, Index Weight = 0.48), meat_beef (1 KG, Index Weight = 1), meat_goat (1 KG, Index Weight = 1), millet (2.6 KG, Index Weight = 0.38), onions (0.5 KG, Index Weight = 2), oranges (400 G, Index Weight = 2.5), rice (2.8 KG, Index Weight = 0.36), salt (250 G, Index Weight = 4), sorghum (2.7 KG, Index Weight = 0.37), tomatoes (0.5 KG, Index Weight = 2), watermelons (2.1 KG, Index Weight = 0.48), yam (2.5 KG, Index Weight = 0.4)",Aug 2013,Jun 2025,20.89,35.15,0.91,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,Nigeria,Abia,Oboma Ngwa,Aba,5.15,7.36,gid_5150000073600000,2009-11-01,2009,11,NGN,"bananas (1.3 KG, Index Weight = 0.77), beans (2.5 KG, Index Weight = 0.4), eggs (30 pcs, Index Weight = 0.33), fish (1 KG, Index Weight = 1), maize_flour (2.1 KG, Index Weight = 0.48), meat_beef (1 KG, Index Weight = 1), meat_goat (1 KG, Index Weight = 1), millet (2.6 KG, Index Weight = 0.38), onions (0.5 KG, Index Weight = 2), oranges (400 G, Index Weight = 2.5), rice (2.8 KG, Index Weight = 0.36), salt (250 G, Index Weight = 4), sorghum (2.7 KG, Index Weight = 0.37), tomatoes (0.5 KG, Index Weight = 2), watermelons (2.1 KG, Index Weight = 0.48), yam (2.5 KG, Index Weight = 0.4)",Aug 2013,Jun 2025,20.89,35.15,0.91,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,Nigeria,Abia,Oboma Ngwa,Aba,5.15,7.36,gid_5150000073600000,2009-12-01,2009,12,NGN,"bananas (1.3 KG, Index Weight = 0.77), beans (2.5 KG, Index Weight = 0.4), eggs (30 pcs, Index Weight = 0.33), fish (1 KG, Index Weight = 1), maize_flour (2.1 KG, Index Weight = 0.48), meat_beef (1 KG, Index Weight = 1), meat_goat (1 KG, Index Weight = 1), millet (2.6 KG, Index Weight = 0.38), onions (0.5 KG, Index Weight = 2), oranges (400 G, Index Weight = 2.5), rice (2.8 KG, Index Weight = 0.36), salt (250 G, Index Weight = 4), sorghum (2.7 KG, Index Weight = 0.37), tomatoes (0.5 KG, Index Weight = 2), watermelons (2.1 KG, Index Weight = 0.48), yam (2.5 KG, Index Weight = 0.4)",Aug 2013,Jun 2025,20.89,35.15,0.91,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,Nigeria,Abia,Oboma Ngwa,Aba,5.15,7.36,gid_5150000073600000,2010-01-01,2010,1,NGN,"bananas (1.3 KG, Index Weight = 0.77), beans (2.5 KG, Index Weight = 0.4), eggs (30 pcs, Index Weight = 0.33), fish (1 KG, Index Weight = 1), maize_flour (2.1 KG, Index Weight = 0.48), meat_beef (1 KG, Index Weight = 1), meat_goat (1 KG, Index Weight = 1), millet (2.6 KG, Index Weight = 0.38), onions (0.5 KG, Index Weight = 2), oranges (400 G, Index Weight = 2.5), rice (2.8 KG, Index Weight = 0.36), salt (250 G, Index Weight = 4), sorghum (2.7 KG, Index Weight = 0.37), tomatoes (0.5 KG, Index Weight = 2), watermelons (2.1 KG, Index Weight = 0.48), yam (2.5 KG, Index Weight = 0.4)",Aug 2013,Jun 2025,20.89,35.15,0.91,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,Nigeria,Abia,Oboma Ngwa,Aba,5.15,7.36,gid_5150000073600000,2010-02-01,2010,2,NGN,"bananas (1.3 KG, Index Weight = 0.77), beans (2.5 KG, Index Weight = 0.4), eggs (30 pcs, Index Weight = 0.33), fish (1 KG, Index Weight = 1), maize_flour (2.1 KG, Index Weight = 0.48), meat_beef (1 KG, Index Weight = 1), meat_goat (1 KG, Index Weight = 1), millet (2.6 KG, Index Weight = 0.38), onions (0.5 KG, Index Weight = 2), oranges (400 G, Index Weight = 2.5), rice (2.8 KG, Index Weight = 0.36), salt (250 G, Index Weight = 4), sorghum (2.7 KG, Index Weight = 0.37), tomatoes (0.5 KG, Index Weight = 2), watermelons (2.1 KG, Index Weight = 0.48), yam (2.5 KG, Index Weight = 0.4)",Aug 2013,Jun 2025,20.89,35.15,0.91,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,Nigeria,Abia,Oboma Ngwa,Aba,5.15,7.36,gid_5150000073600000,2010-03-01,2010,3,NGN,"bananas (1.3 KG, Index Weight = 0.77), beans (2.5 KG, Index Weight = 0.4), eggs (30 pcs, Index Weight = 0.33), fish (1 KG, Index Weight = 1), maize_flour (2.1 KG, Index Weight = 0.48), meat_beef (1 KG, Index Weight = 1), meat_goat (1 KG, Index Weight = 1), millet (2.6 KG, Index Weight = 0.38), onions (0.5 KG, Index Weight = 2), oranges (400 G, Index Weight = 2.5), rice (2.8 KG, Index Weight = 0.36), salt (250 G, Index Weight = 4), sorghum (2.7 KG, Index Weight = 0.37), tomatoes (0.5 KG, Index Weight = 2), watermelons (2.1 KG, Index Weight = 0.48), yam (2.5 KG, Index Weight = 0.4)",Aug 2013,Jun 2025,20.89,35.15,0.91,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,Nigeria,Abia,Oboma Ngwa,Aba,5.15,7.36,gid_5150000073600000,2010-04-01,2010,4,NGN,"bananas (1.3 KG, Index Weight = 0.77), beans (2.5 KG, Index Weight = 0.4), eggs (30 pcs, Index Weight = 0.33), fish (1 KG, Index Weight = 1), maize_flour (2.1 KG, Index Weight = 0.48), meat_beef (1 KG, Index Weight = 1), meat_goat (1 KG, Index Weight = 1), millet (2.6 KG, Index Weight = 0.38), onions (0.5 KG, Index Weight = 2), oranges (400 G, Index Weight = 2.5), rice (2.8 KG, Index Weight = 0.36), salt (250 G, Index Weight = 4), sorghum (2.7 KG, Index Weight = 0.37), tomatoes (0.5 KG, Index Weight = 2), watermelons (2.1 KG, Index Weight = 0.48), yam (2.5 KG, Index Weight = 0.4)",Aug 2013,Jun 2025,20.89,35.15,0.91,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,Nigeria,Abia,Oboma Ngwa,Aba,5.15,7.36,gid_5150000073600000,2010-05-01,2010,5,NGN,"bananas (1.3 KG, Index Weight = 0.77), beans (2.5 KG, Index Weight = 0.4), eggs (30 pcs, Index Weight = 0.33), fish (1 KG, Index Weight = 1), maize_flour (2.1 KG, Index Weight = 0.48), meat_beef (1 KG, Index Weight = 1), meat_goat (1 KG, Index Weight = 1), millet (2.6 KG, Index Weight = 0.38), onions (0.5 KG, Index Weight = 2), oranges (400 G, Index Weight = 2.5), rice (2.8 KG, Index Weight = 0.36), salt (250 G, Index Weight = 4), sorghum (2.7 KG, Index Weight = 0.37), tomatoes (0.5 KG, Index Weight = 2), watermelons (2.1 KG, Index Weight = 0.48), yam (2.5 KG, Index Weight = 0.4)",Aug 2013,Jun 2025,20.89,35.15,0.91,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,Nigeria,Abia,Oboma Ngwa,Aba,5.15,7.36,gid_5150000073600000,2010-06-01,2010,6,NGN,"bananas (1.3 KG, Index Weight = 0.77), beans (2.5 KG, Index Weight = 0.4), eggs (30 pcs, Index Weight = 0.33), fish (1 KG, Index Weight = 1), maize_flour (2.1 KG, Index Weight = 0.48), meat_beef (1 KG, Index Weight = 1), meat_goat (1 KG, Index Weight = 1), millet (2.6 KG, Index Weight = 0.38), onions (0.5 KG, Index Weight = 2), oranges (400 G, Index Weight = 2.5), rice (2.8 KG, Index Weight = 0.36), salt (250 G, Index Weight = 4), sorghum (2.7 KG, Index Weight = 0.37), tomatoes (0.5 KG, Index Weight = 2), watermelons (2.1 KG, Index Weight = 0.48), yam (2.5 KG, Index Weight = 0.4)",Aug 2013,Jun 2025,20.89,35.15,0.91,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,Nigeria,Abia,Oboma Ngwa,Aba,5.15,7.36,gid_5150000073600000,2010-07-01,2010,7,NGN,"bananas (1.3 KG, Index Weight = 0.77), beans (2.5 KG, Index Weight = 0.4), eggs (30 pcs, Index Weight = 0.33), fish (1 KG, Index Weight = 1), maize_flour (2.1 KG, Index Weight = 0.48), meat_beef (1 KG, Index Weight = 1), meat_goat (1 KG, Index Weight = 1), millet (2.6 KG, Index Weight = 0.38), onions (0.5 KG, Index Weight = 2), oranges (400 G, Index Weight = 2.5), rice (2.8 KG, Index Weight = 0.36), salt (250 G, Index Weight = 4), sorghum (2.7 KG, Index Weight = 0.37), tomatoes (0.5 KG, Index Weight = 2), watermelons (2.1 KG, Index Weight = 0.48), yam (2.5 KG, Index Weight = 0.4)",Aug 2013,Jun 2025,20.89,35.15,0.91,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,Nigeria,Abia,Oboma Ngwa,Aba,5.15,7.36,gid_5150000073600000,2010-08-01,2010,8,NGN,"bananas (1.3 KG, Index Weight = 0.77), beans (2.5 KG, Index Weight = 0.4), eggs (30 pcs, Index Weight = 0.33), fish (1 KG, Index Weight = 1), maize_flour (2.1 KG, Index Weight = 0.48), meat_beef (1 KG, Index Weight = 1), meat_goat (1 KG, Index Weight = 1), millet (2.6 KG, Index Weight = 0.38), onions (0.5 KG, Index Weight = 2), oranges (400 G, Index Weight = 2.5), rice (2.8 KG, Index Weight = 0.36), salt (250 G, Index Weight = 4), sorghum (2.7 KG, Index Weight = 0.37), tomatoes (0.5 KG, Index Weight = 2), watermelons (2.1 KG, Index Weight = 0.48), yam (2.5 KG, Index Weight = 0.4)",Aug 2013,Jun 2025,20.89,35.15,0.91,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,Nigeria,Abia,Oboma Ngwa,Aba,5.15,7.36,gid_5150000073600000,2010-09-01,2010,9,NGN,"bananas (1.3 KG, Index Weight = 0.77), beans (2.5 KG, Index Weight = 0.4), eggs (30 pcs, Index Weight = 0.33), fish (1 KG, Index Weight = 1), maize_flour (2.1 KG, Index Weight = 0.48), meat_beef (1 KG, Index Weight = 1), meat_goat (1 KG, Index Weight = 1), millet (2.6 KG, Index Weight = 0.38), onions (0.5 KG, Index Weight = 2), oranges (400 G, Index Weight = 2.5), rice (2.8 KG, Index Weight = 0.36), salt (250 G, Index Weight = 4), sorghum (2.7 KG, Index Weight = 0.37), tomatoes (0.5 KG, Index Weight = 2), watermelons (2.1 KG, Index Weight = 0.48), yam (2.5 KG, Index Weight = 0.4)",Aug 2013,Jun 2025,20.89,35.15,0.91,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,Nigeria,Abia,Oboma Ngwa,Aba,5.15,7.36,gid_5150000073600000,2010-10-01,2010,10,NGN,"bananas (1.3 KG, Index Weight = 0.77), beans (2.5 KG, Index Weight = 0.4), eggs (30 pcs, Index Weight = 0.33), fish (1 KG, Index Weight = 1), maize_flour (2.1 KG, Index Weight = 0.48), meat_beef (1 KG, Index Weight = 1), meat_goat (1 KG, Index Weight = 1), millet (2.6 KG, Index Weight = 0.38), onions (0.5 KG, Index Weight = 2), oranges (400 G, Index Weight = 2.5), rice (2.8 KG, Index Weight = 0.36), salt (250 G, Index Weight = 4), sorghum (2.7 KG, Index Weight = 0.37), tomatoes (0.5 KG, Index Weight = 2), watermelons (2.1 KG, Index Weight = 0.48), yam (2.5 KG, Index Weight = 0.4)",Aug 2013,Jun 2025,20.89,35.15,0.91,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,Nigeria,Abia,Oboma Ngwa,Aba,5.15,7.36,gid_5150000073600000,2010-11-01,2010,11,NGN,"bananas (1.3 KG, Index Weight = 0.77), beans (2.5 KG, Index Weight = 0.4), eggs (30 pcs, Index Weight = 0.33), fish (1 KG, Index Weight = 1), maize_flour (2.1 KG, Index Weight = 0.48), meat_beef (1 KG, Index Weight = 1), meat_goat (1 KG, Index Weight = 1), millet (2.6 KG, Index Weight = 0.38), onions (0.5 KG, Index Weight = 2), oranges (400 G, Index Weight = 2.5), rice (2.8 KG, Index Weight = 0.36), salt (250 G, Index Weight = 4), sorghum (2.7 KG, Index Weight = 0.37), tomatoes (0.5 KG, Index Weight = 2), watermelons (2.1 KG, Index Weight = 0.48), yam (2.5 KG, Index Weight = 0.4)",Aug 2013,Jun 2025,20.89,35.15,0.91,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,Nigeria,Abia,Oboma Ngwa,Aba,5.15,7.36,gid_5150000073600000,2010-12-01,2010,12,NGN,"bananas (1.3 KG, Index Weight = 0.77), beans (2.5 KG, Index Weight = 0.4), eggs (30 pcs, Index Weight = 0.33), fish (1 KG, Index Weight = 1), maize_flour (2.1 KG, Index Weight = 0.48), meat_beef (1 KG, Index Weight = 1), meat_goat (1 KG, Index Weight = 1), millet (2.6 KG, Index Weight = 0.38), onions (0.5 KG, Index Weight = 2), oranges (400 G, Index Weight = 2.5), rice (2.8 KG, Index Weight = 0.36), salt (250 G, Index Weight = 4), sorghum (2.7 KG, Index Weight = 0.37), tomatoes (0.5 KG, Index Weight = 2), watermelons (2.1 KG, Index Weight = 0.48), yam (2.5 KG, Index Weight = 0.4)",Aug 2013,Jun 2025,20.89,35.15,0.91,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
